# Distnaces between sets [move, from, to]
param l :=
[1,*,*]:
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
17   11.1803 7.61577 4.12311 2.23607 3.04138 5 7.01783 9.21954 11.7047 14.7648 18.0278 14.7648 18.3576 21.095 23.4361 25 25.8699 26.1725 26.4008 26.4197
18   11.1803 9.89949 9.84886 11.1803 13.0096 15 17.0074 19.105 21.3776 24.0416 26.9258 13.3417 16.0312 18.0278 19.7294 20.6155 20.7183 20.1246 19.4165 18.3848
19   14.1421 13.8924 14.5602 16.1245 18.0069 20 22.0057 24.0832 26.3059 28.8617 31.6228 15.2643 17.088 18.4391 19.6023 20 19.6023 18.4391 17.088 15.2643
20   14.1421 10.6301 7.2111 4.47214 2.06155 0 2.06155 4.47214 7.2111 10.6301 14.1421 17.6918 21.2603 24.0832 26.5377 28.2843 29.3981 30 30.5287 30.8707

[2,*,*]:
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
1   15.8114 18.4391 19.6469 19.6469 18.4391 15.8114 12.6491 10.2956 10.2956 12.6491 10.6301 12.083 13 12.083 10.6301 8.544 5.09902 3 5.09902 8.544
2   13.1529 14.8661 16.2788 17.4642 17.8045 17.1172 15.6525 13.8924 12.3693 12.2066 7.2111 8.544 10.198 10.6301 10.7703 10 8.06226 6.32456 5 6
3   11.0454 11.3137 13.0384 15.8114 17.8885 19.0263 18.868 17.4929 15.0333 12.8062 4.12311 5.09902 8.06226 10.2956 12.0416 12.3693 11.4018 9.84886 7.07107 5
4   9.48683 8.48528 11.0454 15.5563 18.9737 21.2132 21.6333 20.2485 17.0294 13.4164 2.23607 3.16228 7.81025 11.4018 14.0357 14.8661 14.2127 12.53 9.05539 5.38516
5   8.32166 6.0208 9.96243 16.1012 20.5 23.4361 24.1299 22.6108 18.7417 14.0801 2.5 3.3541 8.73212 13.0863 16.1941 17.2699 16.7108 14.8408 10.9202 6.5
6   7.07107 4.47214 10.2956 17.4929 22.3607 25.4951 26.0768 24.2074 19.6469 14.1421 3.60555 5.09902 10.4403 15.0333 18.2483 19.3132 18.6011 16.4012 12.083 7.28011
7   5.40833 4.5 11.8004 19.4743 24.4182 27.3724 27.5363 25.1247 19.78 13.5 4.71699 7.15891 12.5 17.066 20.1556 21.0297 19.9812 17.3277 12.6194 7.63217
8   3.16228 6.32456 14.2127 21.9545 26.6833 29.1548 28.6356 25.4951 19.2354 12.1655 6.08276 9.48683 14.8661 19.2354 22.0227 22.561 21.0238 17.8045 12.7279 7.81025
9   1.41421 8.94427 17.0294 24.6982 29.1204 31.0161 29.7321 25.807 18.6011 10.7703 8.06226 12.083 17.4642 21.587 24.0208 24.1868 22.1359 18.3576 13.0384 8.544
10   3.60555 12.53 20.6155 28.0179 31.9531 33.0606 30.8058 25.9422 17.6918 9.21954 10.7703 15.2643 20.5913 24.3516 26.3059 26 23.3452 18.9737 13.6015 10
11   7.07107 16.1245 24.2074 31.4006 34.9285 35.3553 32.249 26.5707 17.4929 8.94427 13.8924 18.6011 23.8537 27.313 28.8617 28.1603 25.02 20.2237 15.0333 12.3693
12   18.7883 22.0227 23.0868 22.2036 19.7231 15.2643 10.0499 6.7082 9.21954 14.0357 14.1421 15.6525 16.1245 14.3178 11.6619 8.48528 3.60555 2 7.28011 11.6619
13   21.9545 25.6125 26.5707 25.02 21.5407 15.5563 8.24621 3.16228 9.48683 16.1245 17.6918 19.2354 19.4165 17.0294 13.6015 9.84886 5.09902 5 10.2956 15
14   24.6982 28.4253 29.1548 27.0185 22.8035 15.8114 7.2111 1.41421 11.0454 18.4391 20.5183 21.9545 21.8403 19.0263 15.1327 11.1803 7.07107 7.81025 13.0384 17.8045
15   27.1892 30.8585 31.3249 28.6575 23.838 16.1012 6.80074 3.04138 13.0096 20.7425 22.9837 24.2745 23.8799 20.7183 16.5 12.5 9.01388 10.3078 15.5322 20.3039
16   29.1548 32.5576 32.6497 29.4279 24.0832 15.8114 6.32456 5.09902 15.0333 22.8035 24.7588 25.807 25.0799 21.587 17.1172 13.1529 10.2956 12.2066 17.4929 22.2036
17   30.6472 33.5894 33.1851 29.3471 23.5 14.8071 5.5 7.01783 17.0074 24.6221 25.9278 26.6317 25.5 21.6622 16.9779 13.1244 11.0114 13.6473 19.0066 23.585
18   31.7805 34.0588 33.0151 28.4605 22.0907 13.0384 4.47214 9.05539 19.0263 26.3059 26.6271 26.8701 25.2389 21.0238 16.1555 12.53 11.4018 14.8661 20.2485 24.5967
19   32.8938 34.4093 32.6497 27.313 20.3961 11.0454 4.47214 11.4018 21.2132 28.0713 27.2947 27.0185 24.8395 20.2485 15.2643 12.0416 12.083 16.2788 21.587 25.632
20   33.9559 34.4819 31.8277 25.5539 18.0278 8.544 6.08276 14.3178 23.7697 30.0167 27.8568 26.9258 24.0832 19.105 14.1421 11.6619 13.1529 18 23.0868 26.6833

;
