#Distances within a set [set, dot1, dot2]
param r :=
[1,*,*]:
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
13   7.2111 10.8167 14.4222 17.2047 19.6023 21.2603 22.2767 22.8035 23.3238 23.7697 24.7386 3.60555 0 2.82843 5.31507 7.2111 8.73212 10.198 12 14.3178
14   10 13.6015 17.2047 20 22.4109 24.0832 25.1048 25.6125 26.0768 26.4008 27.2029 6.40312 2.82843 0 2.5 4.47214 6.18466 8 10.198 13
15   12.4197 16.0078 19.6023 22.4109 24.8395 26.5377 27.5862 28.1114 28.5701 28.8487 29.5677 8.8459 5.31507 2.5 0 2.06155 4 6.18466 8.73212 11.9269
16   14.1421 17.6918 21.2603 24.0832 26.5377 28.2843 29.3981 30 30.5287 30.8707 31.6228 10.6301 7.2111 4.47214 2.06155 0 2.06155 4.47214 7.2111 10.6301
17   15.3052 18.7683 22.2767 25.1048 27.5862 29.3981 30.6105 31.3409 32.0039 32.5 33.3804 11.9269 8.73212 6.18466 4 2.06155 0 2.5 5.31507 8.8459
18   16.1245 19.4165 22.8035 25.6125 28.1114 30 31.3409 32.249 33.1059 33.8378 34.9285 13 10.198 8 6.18466 4.47214 2.5 0 2.82843 6.40312
19   17.088 20.1246 23.3238 26.0768 28.5701 30.5287 32.0039 33.1059 34.176 35.171 36.4966 14.3178 12 10.198 8.73212 7.2111 5.31507 2.82843 0 3.60555
20   18.2483 20.8806 23.7697 26.4008 28.8487 30.8707 32.5 33.8378 35.171 36.4966 38.1182 16 14.3178 13 11.9269 10.6301 8.8459 6.40312 3.60555 0

[3,*,*]:
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
1   0 9.48683 17.2047 24.4131 28.4605 30 28.4605 24.4131 17.2047 9.48683 7.28011 11.6619 17 20.8806 23.0868 23.0868 20.8806 17 11.6619 7.28011
2   9.48683 0 8.60233 17.72 24 28.4605 30 28.6007 24.0416 18 8.06226 7.61577 12.0416 17.2627 21.1896 22.8254 22.6716 20.8087 16.5529 11.7047
3   17.2047 8.60233 0 10 17.72 24.4131 28.6007 29.7321 28 24.0416 12.3693 8 7.81025 12.8062 17.6918 20.6155 22.3607 22.561 20 16.2788
4   24.4131 17.72 10 0 8.60233 17.2047 24.0416 28 29.7321 28.6007 17.6918 12.8062 7.81025 8 12.3693 16.2788 20 22.561 22.3607 20.6155
5   28.4605 24 17.72 8.60233 0 9.48683 18 24.0416 28.6007 30 21.1896 17.2627 12.0416 7.61577 8.06226 11.7047 16.5529 20.8087 22.6716 22.8254
6   30 28.4605 24.4131 17.2047 9.48683 0 9.48683 17.2047 24.4131 28.4605 23.0868 20.8806 17 11.6619 7.28011 7.28011 11.6619 17 20.8806 23.0868
7   28.4605 30 28.6007 24.0416 18 9.48683 0 8.60233 17.72 24 22.8254 22.6716 20.8087 16.5529 11.7047 8.06226 7.61577 12.0416 17.2627 21.1896
8   24.4131 28.6007 29.7321 28 24.0416 17.2047 8.60233 0 10 17.72 20.6155 22.3607 22.561 20 16.2788 12.3693 8 7.81025 12.8062 17.6918
9   17.2047 24.0416 28 29.7321 28.6007 24.4131 17.72 10 0 8.60233 16.2788 20 22.561 22.3607 20.6155 17.6918 12.8062 7.81025 8 12.3693
10   9.48683 18 24.0416 28.6007 30 28.4605 24 17.72 8.60233 0 11.7047 16.5529 20.8087 22.6716 22.8254 21.1896 17.2627 12.0416 7.61577 8.06226
11   7.28011 8.06226 12.3693 17.6918 21.1896 23.0868 22.8254 20.6155 16.2788 11.7047 0 5 10 13.6015 16 16.4924 15.2643 12.8062 8.544 4
12   11.6619 7.61577 8 12.8062 17.2627 20.8806 22.6716 22.3607 20 16.5529 5 0 5.38516 10 13.6015 15.2643 15.6205 14.8661 12 8.544
13   17 12.0416 7.81025 7.81025 12.0416 17 20.8087 22.561 22.561 20.8087 10 5.38516 0 5.38516 10 12.8062 14.8661 16 14.8661 12.8062
14   20.8806 17.2627 12.8062 8 7.61577 11.6619 16.5529 20 22.3607 22.6716 13.6015 10 5.38516 0 5 8.544 12 14.8661 15.6205 15.2643
15   23.0868 21.1896 17.6918 12.3693 8.06226 7.28011 11.7047 16.2788 20.6155 22.8254 16 13.6015 10 5 0 4 8.544 12.8062 15.2643 16.4924
16   23.0868 22.8254 20.6155 16.2788 11.7047 7.28011 8.06226 12.3693 17.6918 21.1896 16.4924 15.2643 12.8062 8.544 4 0 5 10 13.6015 16
17   20.8806 22.6716 22.3607 20 16.5529 11.6619 7.61577 8 12.8062 17.2627 15.2643 15.6205 14.8661 12 8.544 5 0 5.38516 10 13.6015
18   17 20.8087 22.561 22.561 20.8087 17 12.0416 7.81025 7.81025 12.0416 12.8062 14.8661 16 14.8661 12.8062 10 5.38516 0 5.38516 10
19   11.6619 16.5529 20 22.3607 22.6716 20.8806 17.2627 12.8062 8 7.61577 8.544 12 14.8661 15.6205 15.2643 13.6015 10 5.38516 0 5
20   7.28011 11.7047 16.2788 20.6155 22.8254 23.0868 21.1896 17.6918 12.3693 8.06226 4 8.544 12.8062 15.2643 16.4924 16 13.6015 10 5 0

;
